goroutine,duration,hit_rate10,10µs,0.737646
10,100µs,0.972091
10,200µs,0.977159
10,500µs,0.599423
10,1ms,0.999037
10,5ms,0.977364
10,10ms,0.982399
10,25ms,0.906047
10,50ms,0.997860
10,100ms,1.000000
10,250ms,1.000000
10,500ms,1.000000
100,10µs,0.981974
100,100µs,0.999175
100,200µs,0.999714
100,500µs,0.999192
100,1ms,0.997603
100,5ms,0.999620
100,10ms,0.985004
100,25ms,0.996214
100,50ms,0.999969
100,100ms,0.999929
100,250ms,0.999034
100,500ms,1.000000
1000,10µs,0.974291
1000,100µs,0.999773
1000,200µs,0.998745
1000,500µs,0.999966
1000,1ms,0.016150
1000,5ms,0.017008
1000,10ms,0.999922
1000,25ms,0.999868
1000,50ms,0.257532
1000,100ms,0.996004
1000,250ms,0.999999
1000,500ms,1.000000
10000,10µs,0.970830
10000,100µs,0.955484
10000,200µs,0.998642
10000,500µs,1.000000
10000,1ms,0.624199
10000,5ms,0.999476
10000,10ms,0.999971
10000,25ms,0.983153
10000,50ms,0.998167
10000,100ms,0.999998
10000,250ms,0.999999
10000,500ms,1.000000
