goroutine,duration,hit_rate
10,10000,0.996842
10,100000,0.999509
10,200000,0.999642
10,500000,0.999823
10,1000000,0.999930
10,5000000,0.999988
10,10000000,0.999993
10,25000000,0.999998
10,50000000,0.999999
10,100000000,1.000000
10,250000000,1.000000
10,500000000,1.000000
100,10000,0.996324
100,100000,0.998645
100,200000,0.999298
100,500000,0.999627
100,1000000,0.999860
100,5000000,0.999979
100,10000000,0.999988
100,25000000,0.999994
100,50000000,0.999996
100,100000000,0.999998
100,250000000,1.000000
100,500000000,1.000000
1000,10000,0.997731
1000,100000,0.999123
1000,200000,0.999377
1000,500000,0.999621
1000,1000000,0.999847
1000,5000000,0.999981
1000,10000000,0.999990
1000,25000000,0.999993
1000,50000000,0.999996
1000,100000000,0.999998
1000,250000000,0.999999
1000,500000000,1.000000
10000,10000,0.997507
10000,100000,0.999027
10000,200000,0.999591
10000,500000,0.999763
10000,1000000,0.999810
10000,5000000,0.999979
10000,10000000,0.999996
10000,25000000,0.999998
10000,50000000,0.999998
10000,100000000,0.999998
10000,250000000,0.999999
10000,500000000,1.000000
